Date,Store,SKU,Demand,Stock,Sales,Stockout,Adjusted_Demand,day,month,weekday,Zero_Demand,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7,is_weekend
2023-01-15,Store_A,Bread,88,87,87,True,88,15,1,6,False,76.0,94.0,78.0,89.14285714285714,87.07142857142857,10.399175791516223,1
2023-01-16,Store_A,Bread,106,109,106,False,106,16,1,0,False,87.0,82.0,97.0,88.14285714285714,87.71428571428571,10.18869588365085,0
2023-01-17,Store_A,Bread,91,56,56,True,91,17,1,1,False,106.0,87.0,90.0,91.57142857142857,88.35714285714286,11.702665549026888,0
2023-01-18,Store_A,Bread,93,54,54,True,93,18,1,2,False,56.0,81.0,88.0,87.14285714285714,85.92857142857143,17.929757122621332,0
2023-01-19,Store_A,Bread,96,94,94,True,96,19,1,3,False,54.0,102.0,90.0,83.28571428571429,83.5,21.929540850295112,0
2023-01-20,Store_A,Bread,97,107,97,False,97,20,1,4,False,94.0,102.0,90.0,82.14285714285714,83.78571428571429,20.9795819105829,0
2023-01-21,Store_A,Bread,99,80,80,True,99,21,1,5,False,97.0,76.0,62.0,81.42857142857143,84.28571428571429,20.263737256958496,1
2023-01-22,Store_A,Bread,99,72,72,True,99,22,1,6,False,80.0,87.0,94.0,82.0,85.57142857142857,20.141168453361065,1
2023-01-23,Store_A,Bread,95,91,91,True,95,23,1,0,False,72.0,106.0,82.0,79.85714285714286,84.0,20.31771453213978,0
2023-01-24,Store_A,Bread,100,59,59,True,100,24,1,1,False,91.0,56.0,87.0,77.71428571428571,84.64285714285714,17.726762119408484,0
2023-01-25,Store_A,Bread,96,81,81,True,96,25,1,2,False,59.0,54.0,81.0,78.14285714285714,82.64285714285714,17.14087290103757,0
2023-01-26,Store_A,Bread,100,102,100,False,100,26,1,3,False,81.0,94.0,102.0,82.0,82.64285714285714,13.441230102437306,0
2023-01-27,Store_A,Bread,100,79,79,True,100,27,1,4,False,100.0,97.0,102.0,82.85714285714286,82.5,14.484803202305645,0
2023-01-28,Store_A,Bread,102,88,88,True,102,28,1,5,False,79.0,80.0,76.0,80.28571428571429,80.85714285714286,13.085797462825697,1
2023-01-29,Store_A,Bread,101,80,80,True,101,29,1,6,False,88.0,72.0,87.0,81.42857142857143,81.71428571428571,13.402203088263056,1
2023-01-30,Store_A,Bread,96,131,96,False,96,30,1,0,False,80.0,91.0,106.0,82.57142857142857,81.21428571428571,12.791366135759219,0
2023-01-31,Store_A,Bread,101,149,101,False,101,31,1,1,False,96.0,59.0,56.0,83.28571428571429,80.5,13.462469878818498,0
2023-02-01,Store_A,Bread,103,51,51,True,103,1,2,2,False,101.0,81.0,54.0,89.28571428571429,83.71428571428571,9.655987533033327,0
2023-02-02,Store_A,Bread,93,127,93,False,93,2,2,3,False,51.0,100.0,94.0,85.0,83.5,17.45470328211473,0
2023-02-03,Store_A,Bread,99,126,99,False,99,3,2,4,False,93.0,79.0,97.0,84.0,83.42857142857143,16.6332999331662,0
2023-02-04,Store_A,Bread,103,142,103,False,103,4,2,5,False,99.0,88.0,80.0,86.85714285714286,83.57142857142857,17.334249060059985,1
2023-02-05,Store_A,Bread,109,61,61,True,109,5,2,6,False,103.0,80.0,72.0,89.0,85.21428571428571,18.393839548428527,1
2023-02-06,Store_A,Bread,105,88,88,True,105,6,2,0,False,61.0,96.0,91.0,86.28571428571429,84.42857142857143,21.140122088217986,0
2023-02-07,Store_A,Bread,110,115,110,False,110,7,2,1,False,88.0,101.0,59.0,85.14285714285714,84.21428571428571,20.73988565886652,0
2023-02-08,Store_A,Bread,99,145,99,False,99,8,2,2,False,110.0,51.0,81.0,86.42857142857143,87.85714285714286,22.11980366743146,0
2023-02-09,Store_A,Bread,103,62,62,True,103,9,2,3,False,99.0,93.0,100.0,93.28571428571429,89.14285714285714,15.861003391066667,0
2023-02-10,Store_A,Bread,106,95,95,True,106,10,2,4,False,62.0,99.0,79.0,88.85714285714286,86.42857142857143,19.794179038533617,0
2023-02-11,Store_A,Bread,91,76,76,True,91,11,2,5,False,95.0,103.0,88.0,88.28571428571429,87.57142857142857,19.508240017270353,1
2023-02-12,Store_A,Bread,110,66,66,True,110,12,2,6,False,76.0,61.0,80.0,84.42857142857143,86.71428571428571,18.769275806107018,1
2023-02-13,Store_A,Bread,93,144,93,False,93,13,2,0,False,66.0,88.0,96.0,85.14285714285714,85.71428571428571,17.799143906646854,0
2023-02-14,Store_A,Bread,108,147,108,False,108,14,2,1,False,93.0,110.0,101.0,85.85714285714286,85.5,18.031718086273894,0
2023-02-15,Store_A,Bread,107,109,107,False,107,15,2,2,False,108.0,99.0,51.0,85.57142857142857,86.0,17.595995215362148,0
2023-02-16,Store_A,Bread,92,113,92,False,92,16,2,3,False,107.0,62.0,93.0,86.71428571428571,90.0,18.830067141978766,0
2023-02-17,Store_A,Bread,92,137,92,False,92,17,2,4,False,92.0,95.0,99.0,91.0,89.92857142857143,15.362291495737201,0
2023-02-18,Store_A,Bread,111,84,84,True,111,18,2,5,False,92.0,76.0,103.0,90.57142857142857,89.42857142857143,15.273693537769894,1
2023-02-19,Store_A,Bread,110,119,110,False,110,19,2,6,False,84.0,66.0,61.0,91.71428571428571,88.07142857142857,14.267845968170109,1
2023-02-20,Store_A,Bread,100,132,100,False,100,20,2,0,False,110.0,93.0,88.0,98.0,91.57142857142857,10.148891565092175,0
2023-02-21,Store_A,Bread,100,79,79,True,100,21,2,1,False,100.0,108.0,110.0,99.0,92.42857142857143,9.916316520428962,0
2023-02-22,Store_A,Bread,107,120,107,False,107,22,2,2,False,79.0,107.0,99.0,94.85714285714286,90.21428571428571,11.466306749611652,0
